X,Y,FID,Settlement,Village,FacilityTy,ManagingOr,Donor,Altitude
36.75083015,-1.27733128,1,Kawangware,Gatina,Religious facility,Missing values, ,1794
36.75075047,-1.27719962,2,Kawangware,Gatina,Juakali/ artisan shade / garage,Missing values, ,1790
36.7507754,-1.27632625,3,Kawangware,Gatina,Juakali/ artisan shade / garage,Missing values, ,1781
36.75194981,-1.27971028,4,Kawangware,Gatina,Religious facility,Missing values, ,1783
36.75201572,-1.2797725,5,Kawangware,Gatina,Juakali/ artisan shade / garage,Missing values, ,1784
36.75337973,-1.28213105,6,Kawangware,Gatina,Juakali/ artisan shade / garage,Missing values, ,1771
36.75333625,-1.28211467,7,Kawangware,Gatina,Water point,Individual (eg business owner), ,1775
36.75332144,-1.28206395,8,Kawangware,Gatina,Juakali/ artisan shade / garage,Missing values, ,1789
36.75335886,-1.28205809,9,Kawangware,Gatina,Juakali/ artisan shade / garage,Missing values, ,1785
36.75348362,-1.28199033,10,Kawangware,Gatina,Water point,Individual (eg business owner), ,1792
36.75362404,-1.28185741,11,Kawangware,Gatina,Juakali/ artisan shade / garage,Missing values, ,1765
36.75410986,-1.28167514,12,Kawangware,Gatina,Juakali/ artisan shade / garage,Missing values, ,1806
36.7542744,-1.28142097,13,Kawangware,Gatina,Hand washing facility,National government,komesha korona,1806
36.75432411,-1.28139117,14,Kawangware,Gatina,Juakali/ artisan shade / garage,Missing values, ,1784
36.75437957,-1.28140615,15,Kawangware,Gatina,Hand washing facility,No one,simba arati,1788
36.75430928,-1.28143641,16,Kawangware,Gatina,Hand washing facility,Individual (eg business owner), ,1787
36.75443555,-1.28136488,17,Kawangware,Gatina,Juakali/ artisan shade / garage,Missing values, ,1783
36.75424924,-1.28143798,18,Kawangware,Gatina,Juakali/ artisan shade / garage,Missing values, ,1781
36.75418306,-1.28141372,19,Kawangware,Gatina,Transport stops (matatus/ boda-boda) - formal & informal,No one, ,1794
36.75474882,-1.2809258,20,Kawangware,Gatina,Hand washing facility,Individual (eg business owner), ,1765
36.75929713,-1.27637271,21,Kawangware,Gatina,Juakali/ artisan shade / garage,Missing values, ,1780
36.75931672,-1.2764343,22,Kawangware,Gatina,Transport stops (matatus/ boda-boda) - formal & informal,No one, ,1759
36.75937165,-1.27653126,23,Kawangware,Gatina,Hand washing facility,UN Agency,ayo david,1759
36.75930442,-1.27640842,24,Kawangware,Gatina,Hand washing facility,Individual (eg business owner), ,1766
36.75930561,-1.2764339,25,Kawangware,Gatina,Hand washing facility,UN Agency,ayoi david,1771
36.75800302,-1.27822207,26,Kawangware,Gatina,Juakali/ artisan shade / garage,Missing values, ,1770
36.75576057,-1.27985272,27,Kawangware,Gatina,Pharmacy / chemist,Missing values, ,1787
36.75591689,-1.27982183,28,Kawangware,Gatina,Hand washing facility,Individual (eg business owner), ,1786
36.75461328,-1.28136236,29,Kawangware,Gatina,Pharmacy / chemist,Missing values, ,1801
36.73845667,-1.285661667,30,Kawangware,Riruta,Juakali/ artisan shade / garage,Missing values, ,1776
36.74093667,-1.287271667,31,Kawangware,Riruta,Transport stops (matatus/ boda-boda) - formal & informal,County government,County,1787
36.73868,-1.2817,32,Kawangware,Muslim,Juakali/ artisan shade / garage,Missing values, ,1797.4
36.74175,-1.280675,33,Kawangware,Muslim,Juakali/ artisan shade / garage,Missing values, ,1834.7
36.74675167,-1.28754,34,Kawangware,Kawangware Sokoni,Water point,Individual (eg business owner),Individual,1825.8
36.74392833,-1.280358333,35,Kawangware,Muslim,Local administrative office,Missing values, ,1803.7
36.74433,-1.286878334,36,Kawangware,Kawangware Sokoni,Waste collection bin / open dumping area,County government,County government,1790.8
36.74312833,-1.284473333,37,Kawangware,Kawangware Sokoni,Transport stops (matatus/ boda-boda) - formal & informal,Community group, ,1808.5
36.751215,-1.282398333,38,Kawangware,Kabiro,Hand washing facility,Individual (eg business owner), ,1800.8
36.750905,-1.282306667,39,Kawangware,Kabiro,Hand washing facility,Individual (eg business owner), ,1801.6
36.74083,-1.286543334,40,Kawangware,Kawangware Sokoni,Juakali/ artisan shade / garage,Missing values, ,1799
36.74983,-1.286001667,41,Kawangware,Kabiro,Religious facility,Missing values, ,1801.6
36.74529,-1.286045,42,Kawangware,Kawangware Sokoni,Juakali/ artisan shade / garage,Missing values, ,1808.4
36.74078167,-1.287021667,43,Kawangware,Riruta,Police station,Missing values, ,1814.8
36.745055,-1.278891667,44,Kawangware,Muslim,Juakali/ artisan shade / garage,Missing values, ,1808.9
36.75331333,-1.287863333,45,Kawangware,Kabiro,Hand washing facility,Individual (eg business owner), ,1803.8
36.75337,-1.285378333,46,Kawangware,Kabiro,Hand washing facility,Individual (eg business owner), ,1807.4
36.75208833,-1.290458333,47,Kawangware,Deliverance,Water point,Individual (eg business owner),Individual,1778
36.75214167,-1.2908,48,Kawangware,Deliverance,Juakali/ artisan shade / garage,Missing values, ,1760.9
36.75204833,-1.291023333,49,Kawangware,Coast,Hand washing facility,Individual (eg business owner),Berby,1806
36.74848333,-1.291786666,50,Kawangware,Deliverance,Juakali/ artisan shade / garage,Missing values, ,1823.8
36.74807833,-1.291616666,51,Kawangware,Deliverance,Health facility,Private company, ,1826.1
36.74794667,-1.291686667,52,Kawangware,Deliverance,Transport stops (matatus/ boda-boda) - formal & informal,Private company, ,1825.9
36.72919333,-1.29024,53,Kawangware,Kabiria,Religious facility,Missing values, ,1797
36.7453,-1.288931667,54,Kawangware,Kawangware Sokoni,Pharmacy / chemist,Missing values, ,1843.2
36.75182333,-1.288771667,55,Kawangware,Kabiro,Hand washing facility,Individual (eg business owner), ,1816.2
36.72877833,-1.292453334,56,Kawangware,Kabiria,Religious facility,Missing values, ,1784.6
36.72825167,-1.293956666,57,Kawangware,Kabiria,Education Facility,Individual (eg business owner),Personal,1777.9
36.72780333,-1.290825,58,Kawangware,Kabiria,Social hall / community centre / resource centre,NGO,NGO,1789.5
36.72816333,-1.290286666,59,Kawangware,Kabiria,Religious facility,Missing values, ,1787.6
36.74870333,-1.285841666,60,Kawangware,Kabiro,Hand washing facility,Individual (eg business owner), ,1808.3
36.74675667,-1.27815,61,Kawangware,Muslim,Flood light,County government,County govt,1809.5
36.72706667,-1.290235,62,Kawangware,Kabiria,Health facility,Individual (eg business owner),Personal,1807.2
36.756545,-1.279583334,63,Kawangware,Gatina,Hand washing facility,Individual (eg business owner), ,1794
36.72621833,-1.293966667,64,Kawangware,Kabiria,Flood light,Private company,Safaricom,1780.8
36.72548667,-1.287665,65,Kawangware,Kabiria,Religious facility,Missing values, ,1842.6
36.74729667,-1.283136667,66,Kawangware,Kabiro,Hand washing facility,Individual (eg business owner), ,1805.7
36.75101333,-1.286695,67,Kawangware,Kabiro,Hand washing facility,Individual (eg business owner), ,1802.5
36.72823667,-1.285253333,68,Kawangware,Kabiria,Religious facility,Missing values, ,1813.6
36.73712333,-1.282615,69,Kawangware,Riruta,Juakali/ artisan shade / garage,Missing values, ,1817.1
36.75203833,-1.28375,70,Kawangware,Kabiro,Juakali/ artisan shade / garage,Missing values, ,1801.7
36.74095,-1.281076667,71,Kawangware,Muslim,Juakali/ artisan shade / garage,Missing values, ,1823.8
36.74404,-1.280028334,72,Kawangware,Muslim,Juakali/ artisan shade / garage,Missing values, ,1800.4
36.74388333,-1.280443333,73,Kawangware,Muslim,Hand washing facility,Individual (eg business owner),Perfect,1811.4
36.74426833,-1.286898333,74,Kawangware,Kawangware Sokoni,Waste collection bin / open dumping area,County government, ,1783
36.75158667,-1.286556667,75,Kawangware,Kabiro,Health facility,Individual (eg business owner), ,1801.3
36.75144,-1.28646,76,Kawangware,Kabiro,Hand washing facility,Individual (eg business owner), ,1801.3
36.74449,-1.287676666,77,Kawangware,Kawangware Sokoni,Market,County government, ,1799.5
36.73726,-1.29292,78,Kawangware,Riruta,Religious facility,Missing values, ,1793.6
36.73954,-1.293818334,79,Kawangware,Riruta,Police station,Missing values, ,1723
36.74286833,-1.28036,80,Kawangware,Muslim,Juakali/ artisan shade / garage,Missing values, ,1809.2
36.751325,-1.282381667,81,Kawangware,Kabiro,Hand washing facility,Individual (eg business owner), ,1808.3
36.73913,-1.290441666,82,Kawangware,Riruta,Religious facility,Missing values, ,565.5
36.75138167,-1.286676667,83,Kawangware,Kabiro,Hand washing facility,County government,MCA,1826.8
36.75330667,-1.288331667,84,Kawangware,Kabiro,Hand washing facility,Individual (eg business owner), ,1803
36.74720333,-1.282888333,85,Kawangware,Kabiro,Juakali/ artisan shade / garage,Missing values, ,1804.9
36.727965,-1.289756667,86,Kawangware,Kabiria,Religious facility,Missing values, ,1611.6
36.74841,-1.29078,87,Kawangware,Coast,Juakali/ artisan shade / garage,Missing values, ,1788.8
36.73384833,-1.291416666,88,Kawangware,Riruta,Transport stops (matatus/ boda-boda) - formal & informal,County government,Community,1836.2
36.75211833,-1.290771667,89,Kawangware,Coast,Juakali/ artisan shade / garage,Missing values, ,1816.6
36.75069,-1.276785,90,Kawangware,56,Hand washing facility,Individual (eg business owner),Halisi,1804.4
36.75096,-1.292445,91,Kawangware,Deliverance,Religious facility,Missing values, ,1737.2
