OBJECTID,Vge_Name,ZONE_CODE,COUNT,AREA,SUM
11,56,11,48,3.7037E-06,3991.395526
8,Amboseli,8,148,1.14198E-05,4011.013139
3,Coast,3,57,4.39815E-06,3186.213966
6,Congo,6,106,8.17901E-06,7229.796357
2,Deliverance,2,70,5.40123E-06,3658.011713
12,Gatina,12,472,3.64198E-05,38506.47158
4,Kabiria,4,462,3.56481E-05,17433.56613
5,Kabiro,5,30,2.31481E-06,2494.622204
10,Kawangware Sokoni,10,489,3.77315E-05,40645.08027
9,Muslim,9,201,1.55093E-05,15387.75199
7,Riruta,7,638,4.92284E-05,29407.74837
1,Wanyee,1,503,3.88117E-05,21856.01594
