X,Y,FID,village,settlement,facility_type,facility_name,managing_organization,donor,altitude
36.79299333,-1.311508333,1,Mashimoni,Kibera,Health facility,Frepals Nursing home,NGO,None,1705.1
36.77618532,-1.30881666,2,Ayany estate,Kibera,Health facility,Al khair health centre,Other Community group,NaN,1763
36.79669333,-1.315076667,3,Laini saba,Kibera,Health facility,AMUA Family health Clinic,NGO,N/A,1657.4
36.77498306,-1.31102976,4,Kianda,Kibera,Health facility,Ant-Hill medical clinic,Individual (eg business owner),Dr.fred ochenge,1755
36.77426208,-1.310616466,5,Ayany estate,Kibera,Health facility,Ayany dental care,Individual (eg business owner),Individual,1752
36.77871167,-1.314155,6,Olympic estate,Kibera,Health facility,Beyond Zero,County government,NA,1768.4
36.78228901,-1.31128912,7,Karanja estate,Kibera,Health facility,Beyond zero,National government,Margret kenyatta,1740
36.79155667,-1.314406667,8,Lindi,Kibera,Health facility,Beyond zero,Community group,None,1741.1
36.77659333,-1.317508333,9,Raila,Kibera,Health facility,Beyond zero,Community group National government,Nys,1733.7
36.77601833,-1.316151667,10,soweto east,Kibera,Health facility,Beyond zero Dispensary,NGO,N/A,1756.5
36.77209244,-1.30761168,11,Kianda,Kibera,Health facility,Beyonn zero,County government,County government,1764
36.77398021,-1.31044631,12,Ayany estate,Kibera,Health facility,Bliss,Community group Individual (eg business owner),NaN,1766
36.77884667,-1.314268333,13,Olympic estate,Kibera,Health facility,Carolina for kibera,NGO,NA,1779.6
36.77934333,-1.312481667,14,Olympic estate,Kibera,Health facility,CFK maternity home,NGO,CFK,1771.8
36.77381237,-1.31102984,15,Kianda,Kibera,Health facility,Chandaria,NGO,Chandaria,1772
36.78798333,-1.307118333,16,D.C village,Kibera,Health facility,Chemi Chemi ya Uzima,Community group,NaN,1752.6
36.786685,-1.306883333,17,D.C village,Kibera,Health facility,Chemistry,Individual (eg business owner),NaN,1801.5
36.78622667,-1.307525,18,D.C village,Kibera,Health facility,Chemistry,Individual (eg business owner),NaN,1762.8
36.79354909,-1.3117381,19,Laini saba,Kibera,Health facility,FHOK-FAMILY CARE MEDICAL CENTER,Individual (eg business owner),NaN,1697
36.793995,-1.312125,20,Lindi,Kibera,Health facility,Fhok-Family Care Medical Centre,Individual (eg business owner),None,1794.6
36.77949667,-1.313996667,21,Olympic estate,Kibera,Health facility,KEMRI/CDC program,NGO,CDC,1783
36.78815333,-1.306065,22,D.C village,Kibera,Health facility,Kibera Health Centre,County government,Government,1749.6
36.77396284,-1.310411235,23,Ayany estate,Kibera,Health facility,Kinani medical and dental clinic,Individual (eg business owner),Individual,1754
36.79001167,-1.313258333,24,Lindi,Kibera,Health facility,Kisembo Health Services,Individual (eg business owner),Kisembo,1729.3
36.77998333,-1.314498333,25,Olympic estate,Kibera,Health facility,Lea Toto kibera,NGO,USAID,1769.3
36.78501667,-1.308625,26,Makina,Kibera,Health facility,Makina clinic,Community group,N/A,1770.4
36.78798844,-1.311464748,27,Lindi,Kibera,Health facility,Nakhayo clinc,Individual (eg business owner),NaN,1713.40336
36.788155,-1.311648333,28,Kambi muru,Kibera,Health facility,Nakhayo medical clinic,Individual (eg business owner),N/A,1776.2
36.77855167,-1.312061667,29,Olympic estate,Kibera,Health facility,Nebtim medical center,Individual (eg business owner),N/A,1772.7
36.78075,-1.30776,30,Toi Market,Kibera,Health facility,Radmed Kibera Ultrasound Center,Individual (eg business owner),NaN,1759.1
36.77532486,-1.31107897,31,Kianda,Kibera,Health facility,Rosade pharmacy and clinic,Individual (eg business owner),NaN,1731
36.77657,-1.314496667,32,soweto west,Kibera,Health facility,Senye Clinic,Individual (eg business owner),None,1629
36.79654833,-1.318251667,33,Silanga,Kibera,Health facility,Shofco,Community group,NaN,1699.6
36.78284667,-1.316853333,34,Gatwekera,Kibera,Health facility,Shofco Satelit Clinic,Individual (eg business owner),Ken odede,1787.2
36.796085,-1.317265,35,Silanga,Kibera,Health facility,Silanga dispensary,County government,Msf Belgium,1720.9
36.78192,-1.31009,36,soweto east,Kibera,Health facility,Silanga health,County government,County,1810.8
36.796375,-1.31463,37,Laini saba,Kibera,Health facility,Sprout Medical Clinic,Individual (eg business owner),NaN,1712.2
36.79817,-1.311865,38,Laini saba,Kibera,Health facility,St Francis Dental Clinic,Individual (eg business owner),NaN,1717.4
36.77440254,-1.31075834,39,Kianda,Kibera,Health facility,Swop clinic,Individual (eg business owner),NaN,1759
36.77321585,-1.30869217,40,Kianda,Kibera,Health facility,Tumaini medical,Individual (eg business owner),NaN,1768
36.77285811,-1.3078951,41,Ayany estate,Kibera,Health facility,Ushirika medical clinic,NGO County government,Government,1773
36.79202628,-1.314761441,42,Lindi,Kibera,Health facility,Vimacare clinic,Individual (eg business owner),Victor omondi,1706.030777
36.78102667,-1.307621667,43,Toi Market,Kibera,Health facility,Vostrum Clinic,Community group,NaN,1753.6
36.7843818,-1.312960298,44,Kisumu ndogo,Kibera,Health facility,Mercilin afya centre,Individual (eg business owner),NaN,1730
36.77631667,-1.314473333,45,soweto west,Kibera,Health facility,Senye Clinic,Individual (eg business owner),NA,1773.2
36.78360633,-1.31196678,46,Karanja estate,Kibera,Health facility,St mary's medical clinic,Individual (eg business owner),NaN,1718
36.78019,-1.316215,47,Gatwekera,Kibera,Health facility,Tabitha Medical  clinic,Individual (eg business owner),NaN,1720.6
36.7851,-1.311338333,48,Karanja estate,Kibera,Health facility,VIPAWA medical  services,Individual (eg business owner),N/A,1783
36.78658833,-1.311461667,49,Kambi muru,Kibera,Water point,NaN,Community group,Yusuf Idris,1779.5
36.79851833,-1.318551667,50,Silanga,Kibera,Water point,NaN,Individual (eg business owner),NaN,1662.9
36.79915,-1.31822,51,Silanga,Kibera,Water point,NaN,Individual (eg business owner),NaN,1662.3
36.79869,-1.317993333,52,Silanga,Kibera,Water point,NaN,Individual (eg business owner),NaN,1684.3
36.79822167,-1.318051667,53,Silanga,Kibera,Water point,NaN,Individual (eg business owner),NaN,1659.1
36.79713667,-1.318371667,54,Silanga,Kibera,Water point,NaN,Individual (eg business owner),NaN,1663
36.79913333,-1.317935,55,Silanga,Kibera,Water point,NaN,Individual (eg business owner),NaN,1662.4
36.79776667,-1.317473333,56,Silanga,Kibera,Water point,NaN,Individual (eg business owner),NaN,1698.1
36.78592833,-1.306655,57,D.C village,Kibera,Water point,NaN,Individual (eg business owner),NaN,1759.5
36.78479,-1.306055,58,D.C village,Kibera,Water point,NaN,Community group,NaN,1784.2
36.78174485,-1.310306839,59,Makina,Kibera,Water point,NaN,Community group,Huairou Commission,1733
36.7816356,-1.3103354,60,Kisumu ndogo,Kibera,Water point,NaN,Individual (eg business owner),Dan,1731.599976
36.78158833,-1.310226667,61,Ayany estate,Kibera,Water point,NaN,Individual (eg business owner),Nys,1775.6
36.78177833,-1.31011,62,Lindi,Kibera,Water point,NaN,Individual (eg business owner),Mkamba,2186.5
36.78178667,-1.310273333,63,Lindi,Kibera,Water point,NaN,Individual (eg business owner),Paul sichenga,1737.1
36.78166333,-1.310303333,64,Makina,Kibera,Water point,NaN,Individual (eg business owner),Karanja,1735.6
36.7794257,-1.3130295,65,soweto west,Kibera,Water point,NaN,Individual (eg business owner),Caroline Adhiambo,0
36.77777667,-1.314736667,66,Olympic estate,Kibera,Water point,NaN,Other,AKEKOK,1780.6
36.77700167,-1.314063333,67,Olympic estate,Kibera,Water point,NaN,Individual (eg business owner),NA,1751.9
36.78662667,-1.311615,68,Karanja estate,Kibera,Water point,NaN,Individual (eg business owner),Maina,1789.2
36.78365167,-1.311715,69,Karanja estate,Kibera,Water point,NaN,Individual (eg business owner),Wee care daycare,1760.2
36.78698667,-1.306978333,70,D.C village,Kibera,Water point,NaN,Individual (eg business owner),William Morekerwa,1733.1
36.78788167,-1.307091667,71,D.C village,Kibera,Water point,NaN,Individual (eg business owner),John,1774.3
36.78634667,-1.306976667,72,D.C village,Kibera,Water point,NaN,Individual (eg business owner),Makamu alumasah,1622.8
36.78588333,-1.307013333,73,D.C village,Kibera,Water point,NaN,Community group,Young tusk youths,1764.7
36.79480333,-1.317241667,74,Silanga,Kibera,Water point,NaN,Individual (eg business owner),NaN,1719.4
36.79476833,-1.316985,75,Silanga,Kibera,Water point,NaN,Community group,NaN,1737.8
36.79495333,-1.316878333,76,Silanga,Kibera,Water point,NaN,Community group,NaN,1730.4
36.796075,-1.317358333,77,Silanga,Kibera,Water point,NaN,Community group,NaN,1666.4
36.79647833,-1.317798333,78,Silanga,Kibera,Water point,NaN,Individual (eg business owner),NaN,1708
36.787755,-1.306978333,79,D.C village,Kibera,Water point,NaN,Individual (eg business owner),NaN,1780
36.78893667,-1.307291667,80,D.C village,Kibera,Water point,NaN,Individual (eg business owner),NaN,1760.8
36.78520262,-1.31114198,81,Karanja estate,Kibera,Water point,NaN,Individual (eg business owner),Donated by Mca Babu Adams,1720
