X,Y,FID,Settlement,Village,FacilityTy,ManagingOr,Donor,Altitude
36.85813833,-1.262198333,1,Mathare,Mathare 4a,Education Facility,Individual (eg business owner),Go Abroad .com,1652.3
36.85811333,-1.262263333,2,Mathare,Mathare 4a,Communal sanitation facility (eg toilet),Individual (eg business owner),Fresh life,1652.2
36.85771667,-1.261718333,3,Mathare,Mathare 4a,Hand washing facility,NGO,Shofco,1654
36.85773167,-1.261711667,4,Mathare,Mathare 4a,Education Facility,Individual (eg business owner),None,1648.5
36.85794,-1.262131667,5,Mathare,Mathare 4a,Education Facility,Individual (eg business owner),None,1648.4
36.85768,-1.262241667,6,Mathare,Mathare 4a,Water point,Individual (eg business owner),None,1648.4
36.85763333,-1.26156,7,Mathare,Mathare 4a,Religious facility,Missing Values, ,1646.1
36.857675,-1.2616,8,Mathare,Mathare 4a,Communal sanitation facility (eg toilet),Community group,None,1646.1
36.85747167,-1.26199,9,Mathare,Mathare 4a,Religious facility,Missing Values, ,1646.2
36.85732833,-1.261893333,10,Mathare,Mathare 4a,Health facility,Individual (eg business owner),None,1645.9
36.85705167,-1.261986667,11,Mathare,Mathare 4a,Local organization/ NGO office,Missing Values, ,1645.3
36.85689167,-1.26186,12,Mathare,Mathare 4a,Education Facility,Individual (eg business owner),None,1646.6
36.85689833,-1.261751667,13,Mathare,Mathare 4a,Water point,Individual (eg business owner),None,1646.6
36.85681667,-1.261815,14,Mathare,Mathare 4a,Religious facility,Missing Values, ,1646.7
36.85686667,-1.261833333,15,Mathare,Mathare 4a,Communal sanitation facility (eg toilet),Community group,CDF,1646.7
36.85667167,-1.261978333,16,Mathare,Mathare 4a,Religious facility,Missing Values, ,1646
36.857795,-1.262391667,17,Mathare,Mathare 4a,Health facility,Individual (eg business owner),None,1646
36.85744333,-1.26244,18,Mathare,Mathare 4a,Water point,Individual (eg business owner),None,1646
36.85646833,-1.261813333,19,Mathare,Mathare 4a,Education Facility,Community group,China,1643.9
36.85640667,-1.261885,20,Mathare,Mathare 4a,Hand washing facility,NGO,UN Habitat,1643.8
36.85629667,-1.261775,21,Mathare,Mathare 4a,Hand washing facility,NGO,Shofco,1644.2
36.85625167,-1.261905,22,Mathare,Mathare 4a,Religious facility,Missing Values, ,1642.3
36.85589,-1.264131667,23,Mathare,Mathare 4a,Communal sanitation facility (eg toilet),Individual (eg business owner),Fresh Life,1642.3
36.85600667,-1.262348333,24,Mathare,Mathare 4a,Water point,Individual (eg business owner),None,1642.4
36.85554167,-1.261415,25,Mathare,Mathare 4a,Hand washing facility,Individual (eg business owner),Alan,1642
36.85556,-1.261503333,26,Mathare,Mathare 4a,Water point,Community group,Alan,1642
36.85587333,-1.2615,27,Mathare,Mathare 4a,Water point,Individual (eg business owner),None,1641
36.85588833,-1.261535,28,Mathare,Mathare 4a,Water point,Individual (eg business owner),Joseph,1641.7
36.85588667,-1.26152,29,Mathare,Mathare 4a,Hand washing facility,Individual (eg business owner),None,1641.7
36.85817167,-1.262428333,30,Mathare,Mathare 4a,Water point,Individual (eg business owner),None,1643.8
36.85809,-1.262413333,31,Mathare,Mathare 4a,Religious facility,Missing Values, ,1643.5
36.85666333,-1.26277,32,Mathare,Mathare 4a,Religious facility,Missing Values, ,1623
36.856695,-1.262905,33,Mathare,Mathare 4a,Communal sanitation facility (eg toilet),Community group,CDF,1623.1
36.855625,-1.261338333,34,Mathare,Mathare 4a,Communal sanitation facility (eg toilet),Community group,Alan,1642.1
36.858405,-1.261495,35,Mathare,Mathare 4a,Juakali/ artisan shade / garage,Missing Values, ,1636.2
36.8583,-1.261456667,36,Mathare,Mathare 4a,Religious facility,Missing Values, ,1642.4
36.85873667,-1.261801667,37,Mathare,Mathare 4a,Local organization/ NGO office,Missing Values, ,1642.7
36.85838167,-1.261506667,38,Mathare,Mathare 4a,Communal sanitation facility (eg toilet),NGO,Shofco,1642.6
36.85971667,-1.260641667,39,Mathare,Mathare 4a,Communal sanitation facility (eg toilet),Community group,None,1641.3
36.85978333,-1.260403333,40,Mathare,Mathare 4a,Hand washing facility,Individual (eg business owner),None,1638.1
36.859775,-1.260261667,41,Mathare,Mathare 4a,Public space,Individual (eg business owner),None,1631.6
36.859825,-1.26029,42,Mathare,Mathare 4a,Communal sanitation facility (eg toilet),Individual (eg business owner),None,1633.7
36.86009167,-1.260195,43,Mathare,Mathare 4a,Communal sanitation facility (eg toilet),Individual (eg business owner) Community group,Fredrick Omolo,1635.7
